Well_id,DOC,Na,Mg,Al,Ca,Fe,Mn,P,S,Deployment
42_2,90.23,10.19046443,2.651250476,4.136427908,16.33993404,5.17992908,1.23764786,0,0,1
42_3,27.9,5.590182148,1.141593113,1.146123244,15.63801359,5.31135256,0.403181695,0,0,1
42_4,10.49,2.831773167,0.928758845,0.163160338,17.80330299,1.740638409,0.05334088,0,0,1
52_2,351.32,12.86290172,6.956467258,2.240694979,24.35701069,3.752929708,5.822056829,1.078158672,0,1
52_3,265.83,9.602786464,3.51321456,5.07366736,16.31302627,2.988428135,1.352587606,0.254708056,0,1
52_4,12.9,41.39765126,10.33323602,0,41.76100686,2.441948744,1.085089332,0.04977474,119.459376,1
86_2,26.55,8.844076613,2.958333319,2.31925086,20.73925658,7.866383528,0.432926827,0.938008126,0,1
86_3,NA,8.305232499,3.087705639,2.560601644,11.52939653,1.861586827,0.575265782,0.037459167,0,1
86_4,NA,14.36790504,2.133349557,0.854596582,12.29110967,0.969590093,0.182230154,0.081689379,21.9932944,1
42_2,377.92,49.07086217,7.410911054,38.81185036,43.98214604,14.22408524,8.304181349,1.865554735,160.0806043,2
42_3,171.25,24.39579719,2.471011312,18.9207018,28.62538997,3.283116648,3.00790644,0.41016906,284.031048,2
42_4,32.61,7.902014261,1.425900477,8.08913494,23.92997409,2.440237711,0.466267922,0.071320587,274.5459147,2
52_2,765.59,56.56431108,23.83888561,54.80813435,98.18312978,11.82892118,23.17296624,6.892779533,645.9303713,2
52_3,385.08,31.02243119,11.30266664,34.17312497,37.6944337,6.684138524,4.443645164,1.08663928,530.2500952,2
52_4,45.01,85.00639392,18.56321157,42.44115726,76.60101548,5.369435796,2.2774573,0.186119094,808.5173543,2
86_2,38.83,0,1.385358566,3.048977531,21.89558133,10.10652573,0.473312833,1.298368422,270.6960381,2
86_3,237.04,70.8481804,22.92833704,91.9825098,84.45203268,4.922936006,2.489593882,0.084377635,684.0939456,2
86_4,297.44,112.2543896,22.85651496,99.26556236,126.6493956,3.540438402,2.05095514,0.297396826,683.0963506,2
42_2,23.26,147.53075,1.69465418,11.73531274,19.05133424,9.938381622,2.057389523,0.619071754,642.6443984,3
42_3,147.1,39.40282627,2.089215114,24.98052899,12.09976465,5.234498996,2.326625922,0.606625548,754.3933101,3
42_4,15.09,6.809488541,0.90476532,4.546416771,15.42503231,3.225760606,0.134382557,0.533475582,568.5193095,3
52_2,2179.25,85.4393189,58.03209057,81.37530874,176.0954047,11.50139767,59.9018629,11.28246325,1114.778347,3
52_3,354.45,2.286141711,1.221334599,2.999654922,14.75245292,4.086943164,0.15568707,1.213980958,760.471457,3
52_4,18.11,104.3817378,35.50719092,95.67680361,116.6958068,32.64383704,4.297034402,6.980510347,2352.883463,3
86_2,13.75,0,1.271016202,3.400629055,20.17124699,6.708646934,0.16456806,1.842895761,813.8456877,3
86_3,396.39,46.46770854,13.14841106,55.32323637,44.26393407,6.170020317,1.299925427,1.350634168,1083.728024,3
86_4,555.52,59.80992673,9.812251199,59.8711258,41.21351958,5.975388902,0.679825835,1.818276041,1132.920169,3
42_2,33.57,0,0.5979157,3.23326683,9.164691061,2.858941455,0,0.302726226,2.512250839,4
42_3,36.64,0,0.346690616,2.188170481,8.159790726,0,0,0.497425666,25.12250839,4
42_4,16.46,0,0.427082643,1.163172139,10.1896894,0.203492318,0,0.768748757,110.5390369,4
52_2,538.68,0,6.350970121,12.60898696,27.5342692,1.512375005,6.391166135,2.517275341,130.6370436,4
52_3,170.32,0,1.391786965,6.438898901,11.41566781,1.070218857,0,1.301345935,261.2740873,4
52_4,15.84,0,1.442031982,5.303361522,9.305377108,1.062682105,0,1.120463874,381.8621276,4
86_2,61.25,0,2.218317491,5.815860693,25.47422351,16.99286468,0,2.15551122,341.6661141,4
86_3,45.26,0,1.341541948,6.057036773,9.888219303,0,0,1.210904904,442.1561477,4
86_4,3.55,0,0.376837626,0.751163001,6.662489226,0.484864412,0,1.442031982,401.9601343,4
L1,411.61,NA,NA,NA,NA,NA,NA,NA,NA,4