Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,7Li (STDR),Na,Mg,Al,29Si (STDR),P,S,35Cl (STDR),39K (STDR),Ca,47Ti (STDR),51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
Amanda Pennino 1,1,99_99,1,1,1,,,0.4,"267,537.0",1.9,4.8,241.0,3.7,2.4,462.8,"2,805.7",-9.5,0.5,7.3,1.5,15.0,-10.5,0.0,0.5,0.8,1.1,1.1,1.6,0.1,0.1,0.0,0.0,0.4,0.2,0.1,0.0
Amanda Pennino 2,2,99_99,2,1,1,,,0.2,"272,250.2",1.4,2.1,209.5,2.9,2.3,470.3,"1,441.9",-15.7,0.3,7.1,1.3,10.7,-10.7,0.0,0.5,0.3,-0.1,1.2,1.9,0.0,0.1,0.0,0.0,0.3,0.1,0.0,0.0
Amanda Pennino 3,3,99_99,1,2,1,,,0.2,"268,950.2",1.8,3.9,214.5,3.2,2.4,467.3,"2,879.0",-12.9,0.3,6.6,1.5,11.8,-10.6,0.0,0.6,0.3,0.1,1.2,2.0,0.0,0.1,0.0,0.0,0.3,0.1,0.0,0.0
Amanda Pennino 4,4,99_99,2,2,1,,,0.2,"281,087.5",1.6,3.5,224.4,3.7,2.8,484.1,"1,493.8",-13.7,0.3,6.7,1.5,12.0,-10.7,0.0,0.5,0.4,0.2,1.2,2.3,0.1,0.1,0.0,0.0,0.3,0.1,0.0,0.0
Amanda Pennino 7,7,42_2,1,1,79.7464,,,0.2,"6,856.1",4.4,17.3,218.5,4.2,2.3,357.6,"351,475.4",33.8,0.2,2.5,1.3,25.8,-6.9,0.0,0.7,0.3,5.1,0.7,8.0,0.1,1.4,0.1,0.0,0.3,0.2,0.1,0.0
Amanda Pennino 8,8,42_2,2,1,79.7464,,,0.1,500.9,0.3,4.5,205.4,3.4,2.2,368.2,"376,663.7",-11.9,0.1,2.2,1.1,11.6,-10.0,0.0,0.5,0.1,0.2,0.6,11.4,0.0,5.0,0.1,0.0,0.2,0.1,0.1,0.0
Amanda Pennino 9,9,42_2,1,2,79.7464,,,0.2,"6,820.5",4.9,20.8,203.8,5.5,2.4,350.7,"349,006.2",57.4,0.3,2.0,1.4,27.4,-6.9,0.0,0.9,0.6,9.7,0.6,11.2,0.1,6.4,0.1,0.0,0.4,0.2,0.2,0.0
Amanda Pennino 10,10,42_2,2,2,79.7464,,,0.1,508.0,0.3,4.4,201.9,4.3,2.5,361.2,"374,350.4",-12.0,0.2,2.0,1.1,11.0,-10.0,0.0,0.5,0.1,0.0,0.6,12.1,0.0,7.9,0.1,0.0,0.2,0.1,0.1,0.0
Amanda Pennino B1,ICP_blank,,,,,,,0.1,2.6,0.2,1.9,133.5,2.4,1.2,-0.6,136.5,-20.9,0.0,-0.1,1.0,4.7,-10.5,0.0,0.4,0.1,-0.3,0.0,1.7,0.0,0.6,0.0,0.0,0.2,0.1,0.2,0.0
Amanda Pennino 11,11,42_3,1,1,79.7464,,,0.2,"7,209.8",3.8,15.0,193.5,5.0,2.2,349.2,"349,477.8",27.9,0.2,1.8,1.4,11.5,-8.4,0.0,0.7,0.5,4.4,0.5,10.3,0.1,5.2,0.0,0.0,0.8,0.2,0.1,0.1
Amanda Pennino 12,12,42_3,2,1,79.7464,,,0.2,501.8,0.3,3.8,206.9,4.7,2.4,359.5,"371,685.1",-12.3,0.1,1.8,1.1,10.0,-10.2,0.0,0.5,0.1,0.1,0.5,12.4,0.0,7.9,0.0,0.0,0.4,0.1,0.1,0.0
Amanda Pennino 13,13,42_3,1,2,79.7464,,,0.2,"7,199.9",3.0,13.5,197.4,4.9,2.5,361.2,"362,763.8",53.3,0.1,1.8,1.1,9.9,-9.0,0.0,0.6,0.2,15.0,0.5,12.2,0.1,8.5,0.0,0.0,0.4,0.1,0.1,0.0
Amanda Pennino 14,14,42_3,2,2,79.7464,,,0.1,555.3,0.5,4.3,207.4,5.0,2.7,373.1,"385,314.4",-11.5,0.1,1.8,1.1,9.4,-10.2,0.0,0.6,0.2,0.4,0.6,13.1,0.0,9.6,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 15,15,42_4,1,1,79.7464,,,0.2,"7,856.5",3.7,7.1,194.6,6.3,2.7,366.5,"365,332.0",53.7,0.1,1.8,1.3,10.5,-9.3,0.0,0.7,0.2,7.6,0.5,12.3,0.1,9.4,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 16,16,42_4,2,1,79.7464,,,0.2,554.6,1.1,4.7,203.4,4.7,2.7,366.4,"379,547.1",-4.3,0.1,1.8,1.3,9.8,-10.3,0.0,0.7,0.1,1.0,0.5,12.3,0.0,9.9,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 17,17,42_4,1,2,79.7464,,,0.2,"7,794.4",3.9,6.4,199.9,6.1,2.8,359.5,"362,700.2",47.7,0.1,1.7,1.3,11.5,-9.2,0.0,0.7,0.2,3.6,0.5,12.3,0.1,9.7,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 18,18,42_4,2,2,79.7464,,,0.2,620.1,1.1,8.2,207.9,5.2,2.8,370.3,"385,294.2",-3.2,0.1,1.7,1.4,14.4,-10.2,0.0,0.7,0.2,0.9,0.5,12.7,0.0,10.4,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 19,19,52_2,1,1,79.7464,,,0.6,"6,199.4",38.5,67.7,197.4,16.0,3.0,360.9,"363,560.4",139.2,0.1,1.7,1.4,17.5,42.0,0.1,0.8,0.4,4.4,0.5,12.2,0.6,10.0,0.0,0.0,0.3,1.4,0.8,0.0
Amanda Pennino 20,20,52_2,2,1,79.7464,,,0.2,417.3,3.5,11.2,196.8,5.9,2.8,358.8,"374,459.3",7.4,0.1,1.6,1.1,10.5,-5.5,0.0,0.6,0.1,0.6,0.5,12.2,0.1,10.4,0.0,0.0,0.2,0.5,0.2,0.0
Amanda Pennino B2,ICP_blank,,,,,,,0.1,0.7,0.3,2.2,122.2,2.8,0.8,-1.6,46.3,-17.0,0.1,-0.3,1.0,5.4,-10.7,0.0,0.4,0.1,-0.2,-0.1,1.1,0.0,0.3,0.0,0.0,0.8,0.1,0.0,0.1
Amanda Pennino 21,21,52_2,1,2,79.7464,,,0.5,"6,578.7",25.8,53.7,205.8,12.0,2.8,355.9,"364,152.5",127.4,0.3,1.8,1.3,22.3,21.6,0.0,0.7,0.3,3.0,0.5,10.0,0.4,6.3,0.0,0.0,0.7,0.9,0.6,0.0
Amanda Pennino 22,22,52_2,2,2,79.7464,,,0.2,425.0,2.1,7.7,207.2,5.8,2.6,363.3,"383,206.3",4.6,0.1,1.7,1.1,11.2,-7.5,0.0,0.5,0.1,0.4,0.5,12.4,0.1,9.4,0.0,0.0,0.4,0.3,0.2,0.0
Amanda Pennino 23,23,52_3,1,1,79.7464,,,0.3,"6,445.0",9.5,33.0,207.7,8.0,3.0,367.4,"376,613.2",59.4,0.3,1.8,1.6,19.1,-6.7,0.0,1.0,0.3,4.0,0.6,12.5,0.2,10.2,0.0,0.0,0.5,0.3,0.2,0.0
Amanda Pennino 24,24,52_3,2,1,79.7464,,,0.2,416.8,1.1,7.2,212.7,6.0,3.1,371.6,"386,824.2",-3.8,0.1,1.7,1.2,11.7,-10.1,0.0,0.6,0.1,0.5,0.6,13.0,0.0,11.0,0.0,0.0,0.4,0.1,0.1,0.0
Amanda Pennino 25,25,52_3,1,2,79.7464,,,0.3,"6,495.8",7.7,33.5,219.2,7.8,3.3,369.2,"375,945.4",54.2,0.2,1.8,1.3,16.3,-7.5,0.0,0.5,0.2,3.3,0.5,12.6,0.1,10.8,0.0,0.0,0.5,0.3,0.2,0.0
Amanda Pennino 26,26,52_3,2,2,79.7464,,,0.2,439.3,1.0,5.2,215.5,5.8,3.1,375.9,"387,759.1",-4.4,0.1,1.8,1.1,9.5,-10.1,0.0,0.5,0.2,0.6,0.6,12.7,0.0,11.5,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 27,27,52_4,1,1,79.7464,,,0.3,"7,639.8",8.6,26.6,221.2,6.8,3.6,378.4,"382,388.5",43.7,0.2,1.7,1.4,16.7,-9.3,0.0,0.5,0.2,3.0,0.6,13.1,0.2,11.5,0.0,0.0,0.4,0.3,0.1,0.0
Amanda Pennino 28,28,52_4,2,1,79.7464,,,0.2,576.0,1.1,6.6,224.0,6.4,3.4,382.8,"400,723.5",-3.8,0.1,1.8,1.2,11.1,-10.2,0.0,0.5,0.1,0.1,0.5,13.3,0.1,11.9,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 29,29,52_4,1,2,79.7464,,,0.3,"7,443.3",9.1,27.9,257.9,6.3,3.8,374.4,"378,564.7",48.9,0.2,1.7,1.3,18.2,-9.3,0.0,0.6,0.2,2.1,0.5,13.3,0.2,11.4,0.0,0.0,0.4,0.3,0.1,0.0
Amanda Pennino 30,30,52_4,2,2,79.7464,,,0.2,514.5,1.1,6.5,216.8,6.3,2.9,369.2,"386,649.9",-4.9,0.3,1.7,1.2,12.8,-10.2,0.0,0.6,0.2,0.6,0.5,11.3,0.1,8.4,0.0,0.0,0.9,0.1,0.1,0.1
Amanda Pennino B3,ICP_blank,,,,,,,0.2,2.1,0.4,3.3,155.5,4.1,1.8,-0.8,150.9,-16.8,0.1,-0.2,1.0,6.4,-10.6,0.0,0.5,0.1,-0.2,0.0,2.3,0.0,0.7,0.0,0.0,0.6,0.1,0.0,0.0
Amanda Pennino 31,31,86_2,1,1,79.7464,,,0.4,"7,325.2",12.9,34.6,225.7,10.5,3.3,369.0,"377,343.2",130.0,0.3,1.7,1.7,86.4,-4.6,0.1,0.7,0.3,7.7,0.6,11.7,0.2,8.8,0.1,0.0,0.7,0.3,0.3,0.0
Amanda Pennino 32,32,86_2,2,1,79.7464,,,0.2,533.4,1.9,6.5,218.9,7.5,3.3,371.7,"388,663.0",8.5,0.1,1.7,1.2,23.0,-9.7,0.0,0.7,0.3,0.8,0.6,13.2,0.1,11.2,0.0,0.0,0.5,0.1,0.1,0.0
Amanda Pennino 33,33,86_2,1,2,79.7464,,,0.3,"7,022.7",12.3,24.9,226.4,11.0,3.3,362.2,"369,023.8",115.0,0.5,1.7,1.3,86.4,-5.1,0.1,0.6,0.2,4.8,0.6,13.4,0.2,11.2,0.0,0.0,0.5,0.3,0.3,0.0
Amanda Pennino 34,34,86_2,2,2,79.7464,,,0.2,479.0,1.5,6.7,217.7,7.1,3.4,369.0,"385,894.9",5.1,0.2,1.7,1.2,22.8,-9.8,0.0,0.6,0.2,0.5,0.6,13.3,0.1,11.9,0.1,0.0,0.4,0.1,0.1,0.0
Amanda Pennino 35,35,86_3,1,1,79.7464,,,0.3,"7,346.5",8.3,28.3,229.8,6.6,3.5,365.1,"370,149.5",46.9,0.1,1.7,1.2,10.8,-9.6,0.0,0.6,0.3,0.8,0.5,13.3,0.1,11.6,0.0,0.0,0.4,0.2,0.1,0.0
Amanda Pennino 36,36,86_3,2,1,79.7464,,,0.2,526.1,1.2,7.4,226.9,6.7,3.5,366.8,"384,921.0",-5.5,0.1,1.7,1.3,10.6,-10.3,0.0,0.5,0.1,-0.1,0.5,13.5,0.0,12.0,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 37,37,86_3,1,2,79.7464,,,0.3,"7,614.7",8.4,31.0,231.1,6.8,3.6,382.6,"388,792.1",51.5,0.1,1.8,1.3,11.4,-9.6,0.0,0.7,0.5,1.8,0.6,14.1,0.1,12.7,0.0,0.0,0.4,0.2,0.1,0.0
Amanda Pennino 38,38,86_3,2,2,79.7464,,,0.3,536.9,1.3,8.4,236.0,6.6,3.7,370.4,"386,188.5",-4.3,0.1,1.7,1.2,11.8,-10.2,0.0,0.5,0.1,0.2,0.5,13.6,0.0,12.5,0.0,0.0,0.3,0.1,0.1,0.0
Amanda Pennino 39,39,86_4,1,1,79.7464,,,0.2,"6,848.8",3.8,4.5,225.6,7.1,3.4,364.1,"374,609.0",40.1,0.2,1.7,1.2,11.0,-10.1,0.0,0.5,0.1,0.3,0.5,11.4,0.0,8.4,0.0,0.0,1.0,0.0,0.1,0.1
Amanda Pennino 40,40,86_4,2,1,79.7464,,,0.2,467.6,0.6,5.0,225.3,6.9,3.3,359.3,"376,735.7",-7.9,0.1,1.7,1.2,11.1,-10.3,0.0,0.4,0.1,-0.1,0.6,13.5,0.0,11.4,0.0,0.0,0.6,0.0,0.1,0.0
Amanda Pennino B4,ICP_blank,,,,,,,0.2,2.7,0.6,3.1,159.7,5.2,2.1,-0.6,179.5,-17.5,0.1,-0.2,1.1,7.7,-10.6,0.0,0.5,0.1,-0.2,0.0,2.6,0.0,0.9,0.0,0.0,0.5,0.1,0.0,0.0
Amanda Pennino 41,41,86_4,1,2,79.7464,,,0.2,"7,142.0",3.3,4.7,232.4,7.3,3.5,357.1,"366,511.0",26.2,0.1,1.6,1.2,10.9,-10.2,0.0,0.6,0.3,1.0,0.5,11.8,0.0,9.1,0.2,0.0,0.6,0.0,0.1,0.0
Amanda Pennino 42,42,86_4,2,2,79.7464,,,0.3,579.2,0.8,8.1,245.1,7.7,3.7,378.4,"395,316.7",-8.9,0.4,1.8,1.3,17.2,-10.3,0.0,0.5,0.2,0.0,0.6,14.0,0.0,12.3,0.0,0.0,0.4,0.0,0.1,0.0
Amanda Pennino 43,43,IRA,1,1,1,,,0.6,113.2,38.3,98.7,238.0,25.0,3.8,368.5,"387,159.5",233.9,0.7,1.8,1.5,44.9,35.0,0.1,0.7,9.8,9.3,0.6,13.7,0.5,12.7,0.9,0.0,0.6,1.2,0.9,0.0
Amanda Pennino 44,44,IRA,2,1,1,,,0.3,30.1,4.0,16.6,233.0,8.0,3.7,377.0,"395,091.5",22.8,0.1,1.8,1.2,16.2,-5.6,0.0,0.5,0.2,0.5,0.6,14.1,0.1,13.7,0.0,0.0,0.4,0.4,0.2,0.0
Amanda Pennino 45,45,IRA,1,2,1,,,0.5,113.4,38.0,77.2,230.7,21.9,3.8,368.3,"387,300.1",257.8,0.4,1.8,1.3,33.6,32.2,0.1,0.7,0.5,2.3,0.6,13.4,0.5,13.5,0.0,0.0,0.5,1.1,0.5,0.0
Amanda Pennino 46,46,IRA,2,2,1,,,0.3,29.4,3.9,16.1,237.8,8.4,3.9,384.6,"401,237.5",27.9,0.2,1.8,1.2,15.1,-5.8,0.0,0.6,0.1,0.4,0.6,13.9,0.1,14.5,0.0,0.0,0.3,0.4,0.2,0.0